id,univ_type,univ_name,yr_lvl,acad_stat,course,pl_mod,gender,active,A_preference,reflective,R_preference,sensing,S_preference,intuitive,I_preference,visual,Vi_preference,verbal,Ve_preference,sequential,Se_preference,global,G_preference,LS,AR,SI,VV,SG,AR_pref,SI_pref,VV_pref,SG_pref,Learning Style Result,Detected Dimension,Teaching Strategies
1,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,9,High,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"0,1,9,0,7,0,3,0",2,1,1,1,Low,High,Moderate,Low,SI,Perception,Practical Lab
2,1,earist,3,1,cs,3,1,0,Not Prefer,3,Low,0,Not Prefer,1,Low,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,"0,3,0,1,5,0,7,0",2,2,1,1,Low,Low,Moderate,Moderate,VV,Input,Visual Code Flowcharts
3,1,earist,3,1,cs,3,2,3,Low,0,Not Prefer,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"3,0,3,0,5,0,1,0",1,1,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
4,1,earist,3,1,cs,3,2,0,Not Prefer,7,Moderate,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"0,7,3,0,5,0,1,0",2,1,1,1,Moderate,Low,Moderate,Low,AR,Processing,Concept Mapping
5,1,earist,3,1,cs,1,2,1,Low,0,Not Prefer,9,High,0,Not Prefer,9,High,0,Not Prefer,1,Low,0,Not Prefer,"1,0,9,0,9,0,1,0",1,1,1,1,Low,High,High,Low,SI,Perception,Practical Lab
6,1,earist,3,1,cs,3,2,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,0,Not Prefer,7,Moderate,"7,0,3,0,5,0,0,7",1,1,1,2,Moderate,Low,Moderate,Moderate,AR,Processing,Hands-On Labs
7,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,9,High,0,Not Prefer,9,High,0,Not Prefer,5,Moderate,0,Not Prefer,"0,1,9,0,9,0,5,0",2,1,1,1,Low,High,High,Moderate,SI,Perception,Practical Lab
8,1,earist,3,1,cs,3,2,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,0,Not Prefer,3,Low,1,Low,0,Not Prefer,"1,0,5,0,0,3,1,0",1,1,2,1,Low,Moderate,Low,Low,SI,Perception,Step-by-step Coding
9,1,earist,3,1,cs,2,2,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,0,Not Prefer,5,Moderate,5,Moderate,0,Not Prefer,"3,0,5,0,0,5,5,0",1,1,2,1,Low,Moderate,Moderate,Moderate,SI,Perception,Step-by-step Coding
10,1,earist,3,1,cs,3,2,0,Not Prefer,3,Low,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,"0,3,5,0,7,0,7,0",2,1,1,1,Low,Moderate,Moderate,Moderate,SI,Perception,Step-by-step Coding
11,1,earist,3,1,cs,1,1,0,Not Prefer,5,Moderate,3,Low,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,1,Low,"0,5,3,0,3,0,0,1",2,1,1,2,Moderate,Low,Low,Low,AR,Processing,Concept Mapping
12,1,earist,3,1,cs,1,1,1,Low,0,Not Prefer,9,High,0,Not Prefer,0,Not Prefer,3,Low,5,Moderate,0,Not Prefer,"1,0,9,0,0,3,5,0",1,1,2,1,Low,High,Low,Moderate,SI,Perception,Practical Lab
13,1,earist,3,1,cs,1,2,1,Low,0,Not Prefer,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"1,0,3,0,5,0,1,0",1,1,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
14,1,earist,3,1,cs,3,1,7,Moderate,0,Not Prefer,9,High,0,Not Prefer,9,High,0,Not Prefer,3,Low,0,Not Prefer,"7,0,9,0,9,0,3,0",1,1,1,1,Moderate,High,High,Low,SI,Perception,Practical Lab
15,1,earist,3,2,cs,2,1,0,Not Prefer,1,Low,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,0,Not Prefer,1,Low,"0,1,5,0,9,0,0,1",2,1,1,2,Low,Moderate,High,Low,VV,Input,Interactive code
16,1,earist,3,1,cs,3,2,3,Low,0,Not Prefer,0,Not Prefer,1,Low,7,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,"3,0,0,1,7,0,7,0",1,2,1,1,Low,Low,Moderate,Moderate,VV,Input,Visual Code Flowcharts
17,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,7,Moderate,0,Not Prefer,0,Not Prefer,3,Low,5,Moderate,0,Not Prefer,"0,1,7,0,0,3,5,0",2,1,2,1,Low,Moderate,Low,Moderate,SI,Perception,Step-by-step Coding
18,1,earist,3,1,cs,3,1,1,Low,0,Not Prefer,11,High,0,Not Prefer,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,"1,0,11,0,5,0,5,0",1,1,1,1,Low,High,Moderate,Moderate,SI,Perception,Practical Lab
19,1,earist,3,1,cs,2,1,0,Not Prefer,1,Low,0,Not Prefer,5,Moderate,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,"0,1,0,5,5,0,5,0",2,2,1,1,Low,Moderate,Moderate,Moderate,SI,Perception,Coding Pattern
20,1,earist,3,1,cs,3,2,0,Not Prefer,3,Low,3,Low,0,Not Prefer,9,High,0,Not Prefer,0,Not Prefer,3,Low,"0,3,3,0,9,0,0,3",2,1,1,2,Low,Low,High,Low,VV,Input,Interactive code
21,1,earist,4,2,cs,3,2,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,0,Not Prefer,5,Moderate,"5,0,5,0,1,0,0,5",1,1,1,2,Moderate,Moderate,Low,Moderate,AR,Processing,Hands-On Labs
22,1,earist,3,1,cs,3,1,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"5,0,3,0,5,0,1,0",1,1,1,1,Moderate,Low,Moderate,Low,AR,Processing,Hands-On Labs
23,1,earist,3,1,cs,1,1,1,Low,0,Not Prefer,1,Low,0,Not Prefer,0,Not Prefer,1,Low,0,Not Prefer,1,Low,"1,0,1,0,0,1,0,1",1,1,2,2,Low,Low,Low,Low,AR,Processing,Individual Learning
24,1,earist,3,1,cs,3,2,0,Not Prefer,11,High,3,Low,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,3,Low,"0,11,3,0,3,0,0,3",2,1,1,2,High,Low,Low,Low,AR,Processing,Independent Coding
25,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,1,Low,0,Not Prefer,7,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"0,1,1,0,7,0,1,0",2,1,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
26,1,earist,3,1,cs,1,1,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,5,Moderate,0,Not Prefer,"3,0,5,0,9,0,5,0",1,1,1,1,Low,Moderate,High,Moderate,VV,Input,Interactive code
27,2,earist,3,1,cs,3,1,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,"0,0,0,0,0,0,0,0",0,0,0,0,,,,,,,
28,1,earist,3,1,cs,3,2,0,Not Prefer,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,3,Low,0,Not Prefer,"0,1,0,5,0,1,3,0",2,2,2,1,Low,Moderate,Low,Low,SI,Perception,Coding Pattern
29,1,earist,3,1,cs,2,1,1,Low,0,Not Prefer,0,Not Prefer,1,Low,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,"1,0,0,1,5,0,5,0",1,2,1,1,Low,Low,Moderate,Moderate,VV,Input,Visual Code Flowcharts
30,1,earist,3,1,cs,3,1,0,Not Prefer,3,Low,3,Low,0,Not Prefer,0,Not Prefer,3,Low,0,Not Prefer,3,Low,"0,3,3,0,0,3,0,3",2,1,2,2,Low,Low,Low,Low,AR,Processing,Group Coding
31,1,earist,3,1,cs,3,1,7,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,1,Low,"7,0,5,0,3,0,0,1",1,1,1,2,Moderate,Moderate,Low,Low,AR,Processing,Hands-On Labs
32,1,earist,3,1,cs,3,2,0,Not Prefer,1,Low,9,High,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"0,1,9,0,5,0,1,0",2,1,1,1,Low,High,Moderate,Low,SI,Perception,Practical Lab
33,1,earist,3,1,cs,2,2,11,High,0,Not Prefer,3,Low,0,Not Prefer,9,High,0,Not Prefer,9,High,0,Not Prefer,"11,0,3,0,9,0,9,0",1,1,1,1,High,Low,High,High,AR,Processing,Collaborative Projects
34,1,earist,3,1,cs,2,1,3,Low,0,Not Prefer,0,Not Prefer,3,Low,0,Not Prefer,1,Low,3,Low,0,Not Prefer,"3,0,0,3,0,1,3,0",1,2,2,1,Low,Low,Low,Low,AR,Processing,Individual Learning
35,1,earist,3,1,cs,3,2,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,"1,0,5,0,7,0,5,0",1,1,1,1,Low,Moderate,Moderate,Moderate,SI,Perception,Step-by-step Coding
36,1,earist,3,1,cs,3,2,0,Not Prefer,1,Low,0,Not Prefer,3,Low,1,Low,0,Not Prefer,1,Low,0,Not Prefer,"0,1,0,3,1,0,1,0",2,2,1,1,Low,Low,Low,Low,AR,Processing,Group Coding
37,1,earist,3,1,cs,3,1,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,0,Not Prefer,"0,0,0,0,0,0,0,0",0,0,0,0,,,,,,,
38,1,earist,3,1,cs,3,2,9,High,0,Not Prefer,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,0,Not Prefer,1,Low,"9,0,5,0,7,0,0,1",1,1,1,2,High,Moderate,Moderate,Low,AR,Processing,Collaborative Projects
39,1,earist,3,1,cs,1,1,0,Not Prefer,7,Moderate,7,Moderate,0,Not Prefer,9,High,0,Not Prefer,1,Low,0,Not Prefer,"0,7,7,0,9,0,1,0",2,1,1,1,Moderate,Moderate,High,Low,VV,Input,Interactive code
40,1,earist,3,1,cs,3,2,1,Low,0,Not Prefer,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"1,0,3,0,7,0,3,0",1,1,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
